,Year,Type of Complaint,Month,Complaints_count
0,2017,Total Complaints Filed by Month,January,10.0
1,2017,City Employment Complaints Filed,January,0.0
2,2017,Public Accommodations Complaints Filed,January,3.0
3,2017,Housing Complaints Filed,January,4.0
4,2017,Private Employment Complaints Filed,January,3.0
5,2018,Fair Contracting Complaints Filed,January,0.0
6,2018,Fair Chance Housing Complaints Filed,January,0.0
7,2018,Housing Complaints Filed,January,4.0
8,2018,Total Complaints Filed by Month,January,19.0
9,2018,Public Accommodations Complaints Filed,January,4.0
10,2018,Private Employment Complaints Filed,January,9.0
11,2018,City Employment Complaints Filed,January,2.0
12,2019,City Employment Complaints Filed,January,1.0
13,2019,Fair Chance Housing Complaints Filed,January,3.0
14,2019,Fair Contracting Complaints Filed,January,0.0
15,2019,Housing Complaints Filed,January,8.0
16,2019,Private Employment Complaints Filed,January,11.0
17,2019,Public Accommodations Complaints Filed,January,1.0
18,2020,City Employment Complaints Filed,January,0.0
19,2020,Fair Chance Housing Complaints Filed,January,0.0
20,2020,Fair Contracting Complaints Filed,January,0.0
21,2020,Housing Complaints Filed,January,6.0
22,2020,Private Employment Complaints Filed,January,2.0
23,2020,Public Accommodations Complaints Filed,January,0.0
24,2021,City Employment Complaints Filed,January,2.0
25,2021,Fair Chance Housing Complaints Filed,January,2.0
26,2021,Fair Contracting Complaints Filed,January,0.0
27,2021,Housing Complaints Filed,January,7.0
28,2021,Private Employment Complaints Filed,January,10.0
29,2021,Public Accommodations Complaints Filed,January,1.0
30,2022,City Employment Complaints Filed,January,0.0
31,2022,Fair Chance Housing Complaints Filed,January,0.0
32,2022,Fair Contracting Complaints Filed,January,0.0
33,2022,Housing Complaints Filed,January,2.0
34,2022,Private Employment Complaints Filed,January,1.0
35,2022,Public Accommodations Complaints Filed,January,0.0
36,2023,City Employment Complaints Filed,January,0.0
37,2023,Fair Chance Housing Complaints Filed,January,0.0
38,2023,Fair Contracting Complaints Filed,January,0.0
39,2023,Housing Complaints Filed,January,2.0
40,2023,Private Employment Complaints Filed,January,1.0
41,2023,Public Accommodations Complaints Filed,January,0.0
42,2024,City Employment Complaints Filed,January,2.0
43,2024,Fair Chance Housing Complaints Filed,January,0.0
44,2024,Fair Contracting Complaints Filed,January,0.0
45,2024,Housing Complaints Filed,January,1.0
46,2024,Private Employment Complaints Filed,January,2.0
47,2024,Public Accommodations Complaints Filed,January,0.0
48,2017,Total Complaints Filed by Month,February,6.0
49,2017,City Employment Complaints Filed,February,0.0
50,2017,Public Accommodations Complaints Filed,February,1.0
51,2017,Housing Complaints Filed,February,0.0
52,2017,Private Employment Complaints Filed,February,5.0
53,2018,Fair Contracting Complaints Filed,February,0.0
54,2018,Fair Chance Housing Complaints Filed,February,0.0
55,2018,Housing Complaints Filed,February,9.0
56,2018,Total Complaints Filed by Month,February,17.0
57,2018,Public Accommodations Complaints Filed,February,4.0
58,2018,Private Employment Complaints Filed,February,3.0
59,2018,City Employment Complaints Filed,February,1.0
60,2019,City Employment Complaints Filed,February,0.0
61,2019,Fair Chance Housing Complaints Filed,February,2.0
62,2019,Fair Contracting Complaints Filed,February,0.0
63,2019,Housing Complaints Filed,February,5.0
64,2019,Private Employment Complaints Filed,February,6.0
65,2019,Public Accommodations Complaints Filed,February,5.0
66,2020,City Employment Complaints Filed,February,1.0
67,2020,Fair Chance Housing Complaints Filed,February,0.0
